learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,relative mean absolute error,relative root mean squared error,coefficient of determination,adjusted coefficient of determination,model training instances,model serialized size (bytes)
2000.0,0.217102412,0.0,1000.0,1.364647155043445,4.400063236638919,33.99394966410791,30.990451794610774,-959.4081024340941,-1670.5116625987107,2000.0,0.0
4000.0,0.428356107,0.0,1000.0,1.0899219543487217,4.3617984705095045,28.632495137544673,31.557095270248073,-994.8502618955133,-1732.195839082958,4000.0,0.0
6000.0,0.638911283,0.0,1000.0,1.6335521747814388,5.097731830641968,50.07463364399132,44.54623222325031,-1983.366805287744,-3452.6279416070665,6000.0,0.0
8000.0,0.849174558,0.0,1000.0,1.546838290038225,4.616474909024368,34.77524297883622,26.437135904047043,-697.9221548090533,-1215.416781627603,8000.0,0.0
10000.0,1.061064561,0.0,1000.0,1.60846146463159,7.886418623342104,33.187759644867214,40.00011407056018,-1599.0091256578264,-2783.684872007262,10000.0,0.0
12000.0,1.270463819,0.0,1000.0,1.8241273493553372,5.518558340747246,47.71419074653451,37.70700839493261,-1420.818482095518,-2473.5586474101437,12000.0,0.0
14000.0,1.47543183,0.0,1000.0,1.7248543432062553,5.911963185936396,51.61023137028946,38.644276192662566,-1492.380082454787,-2598.105753261903,14000.0,0.0
16000.0,1.684435338,0.0,1000.0,1.634872501790763,4.116598206922594,50.59149948840576,33.4721414191202,-1119.384251181582,-1948.9370504013941,16000.0,0.0
18000.0,1.894812743,0.0,1000.0,1.4351804650589168,4.462840431043725,33.569735878436276,29.724246661148246,-882.5308395727826,-1536.713081416742,18000.0,0.0
20000.0,2.106581699,0.0,1000.0,2.175782834018169,7.154844380024246,62.753800690596016,64.275063470436,-4130.283784128576,-7189.161150425867,20000.0,0.0
22000.0,2.314203944,0.0,1000.0,1.7734267556351242,5.421602886709184,49.127040626119395,44.24557747529899,-1956.671126122685,-3406.1662979034186,22000.0,0.0
24000.0,2.521431463,0.0,1000.0,2.2473841506465217,6.146927158395874,58.98473961358608,43.00922596573015,-1848.7935181712369,-3218.41415444785,24000.0,0.0
26000.0,2.731176561,0.0,1000.0,2.353379353325611,7.234747737509332,63.33617817235217,46.25910053190354,-2138.9043820207585,-3723.3283582556405,26000.0,0.0
28000.0,2.936483715,0.0,1000.0,1.4483154243136673,4.587158896735734,44.49924713861151,37.773791948355395,-1425.8593581576388,-2482.331879441605,28000.0,0.0
30000.0,3.147660531,0.0,1000.0,3.1049337942047828,7.337521007770757,95.36808655948006,63.82688257601651,-4072.8709393726,-7089.238795179839,30000.0,0.0
32000.0,3.356159912,0.0,1000.0,1.9645416820107833,6.743120922183163,52.437532782503204,47.883539561740236,-2291.8333609607425,-3989.4887240414314,32000.0,0.0
34000.0,3.562553467,0.0,1000.0,2.143301943882606,5.256703357305766,57.0664744582365,38.23008774694762,-1460.5396091393143,-2542.6900166030923,34000.0,0.0
36000.0,3.772321256,0.0,1000.0,1.76522462798301,5.895568209652899,46.27315068823113,44.631417064786845,-1990.9633892109464,-3465.8491739054625,36000.0,0.0
38000.0,3.982132956,0.0,1000.0,0.711115771446891,2.8259084865384216,17.00619510109888,16.51402826303071,-271.71312947217706,-473.63487167718625,38000.0,0.0
40000.0,4.189654862,0.0,1000.0,2.8830173012616895,6.217565435035373,82.84986561988538,48.124139294254974,-2314.9327828128557,-4029.6913763589596,40000.0,0.0
42000.0,4.399403686,0.0,1000.0,3.1323906171496523,8.331049177877635,82.21940070659022,53.125296746210076,-2821.2971543728786,-4910.977103168128,42000.0,0.0
44000.0,4.607860573,0.0,1000.0,1.372400925174288,4.280163794975038,42.615623036301955,35.07126724402982,-1228.9937861021588,-2139.7034709338964,44000.0,0.0
46000.0,4.816048586,0.0,1000.0,1.849161033476441,7.259310561411675,49.74144992916495,53.81619099480479,-2895.182413189308,-5039.568346299859,46000.0,0.0
48000.0,5.026793912,0.0,1000.0,0.9104136811007837,8.055416868264729,23.923157290615865,59.71763250901409,-3565.195632481656,-6205.671492768597,48000.0,0.0
50000.0,5.232695579,0.0,1000.0,1.7783777302026293,3.8738224451925176,54.26138596522973,38.712900118475496,-1497.6886355830602,-2607.3448553091935,50000.0,0.0
52000.0,5.440727981,0.0,1000.0,0.7994008468299498,4.975479400816132,20.494531272225615,38.66269217857547,-1493.8037664952806,-2600.58355876095,52000.0,0.0
54000.0,5.649455549,0.0,1000.0,0.8259467008930254,1.673505331767024,22.120085666845434,11.96932750019448,-142.26480080691184,-248.34065506290057,54000.0,0.0
56000.0,5.858338014,0.0,1000.0,1.143670250506846,4.342526794547345,27.360501108204588,26.141837526089155,-682.3956692404432,-1188.3942048278793,56000.0,0.0
58000.0,6.065068809,0.0,1000.0,0.950056248900312,2.1398399255214335,26.458835934739525,17.797560742823514,-315.7531683944926,-550.2829533555716,58000.0,0.0
60000.0,6.271565368,0.0,1000.0,1.0954164436642675,2.013244007694494,40.139793765915,25.93214566126672,-671.4761785971543,-1169.3897254678695,60000.0,0.0
62000.0,6.484755245,0.0,1000.0,0.6389274421998445,1.5317102461942786,15.983499141425378,11.070261641279846,-121.55069280639195,-212.2894461909156,62000.0,0.0
64000.0,6.692360243,0.0,1000.0,0.42117593904344613,0.8257080689020735,11.047081565022388,5.83187371890359,-33.01075107323839,-58.192927390531615,64000.0,0.0
66000.0,6.901071071,0.0,1000.0,0.2600618910108428,0.5474344666947384,7.7266506128491725,5.228445051103177,-26.3366376524053,-46.577179468210616,66000.0,0.0
68000.0,7.109659289,0.0,1000.0,0.40574135444316023,1.190368747293547,11.776357644679369,9.710995351442074,-93.30343071572956,-163.1273994512436,68000.0,0.0
70000.0,7.317679509,0.0,1000.0,0.3417302057066625,0.8227940830793884,9.769672871250048,7.108424318594469,-49.529696293185246,-86.94279894928931,70000.0,0.0
72000.0,7.525376516,0.0,1000.0,0.3064120247160347,0.5812376168346354,7.520394089085143,3.806205626803657,-13.487201273511818,-24.2137875822967,72000.0,0.0
74000.0,7.736269028,0.0,1000.0,0.18351964853173675,0.389589566944449,5.30317449769244,2.7917786235258713,-6.794027882776009,-12.56486734301957,74000.0,0.0
76000.0,7.948265623,0.0,1000.0,0.17426325423630748,0.31194800021352304,4.056018897359878,2.383085763745496,-4.679097757366454,-8.884004633465308,76000.0,0.0
78000.0,8.158903551,0.0,1000.0,0.21456060635586294,0.4607201303422145,3.854929688621537,2.354129886433598,-4.541927522199865,-8.645271070867011,78000.0,0.0
